epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1305.83,0.45578,0.41335,0.8692,0.98441,0.9751,0.99107,0.85153,0.62787,0.65157,0.91684,0.000587248,0.000587248,0.000587248
121,1316.48,0.48433,0.43112,0.88388,0.98234,0.96957,0.99079,0.86331,0.58854,0.60354,0.9126,0.000580174,0.000580174,0.000580174
122,1327.02,0.48978,0.42677,0.88561,0.98076,0.96957,0.99112,0.86473,0.59642,0.58792,0.91237,0.0005731,0.0005731,0.0005731
123,1337.6,0.4813,0.42376,0.86855,0.97854,0.9629,0.99118,0.86385,0.62728,0.58561,0.91211,0.000566027,0.000566027,0.000566027
124,1348.32,0.46363,0.41293,0.85783,0.96793,0.973,0.99155,0.85827,0.65761,0.5836,0.91626,0.000558953,0.000558953,0.000558953
125,1359.27,0.44915,0.41231,0.85613,0.97374,0.9728,0.99151,0.86382,0.60829,0.56859,0.91357,0.00055188,0.00055188,0.00055188
126,1370.47,0.45126,0.39924,0.85484,0.96879,0.96673,0.99121,0.87135,0.5851,0.57154,0.91279,0.000544806,0.000544806,0.000544806
127,1381.24,0.50886,0.42171,0.89337,0.96667,0.97582,0.99124,0.86734,0.60745,0.57883,0.91377,0.000537733,0.000537733,0.000537733
128,1391.81,0.46958,0.41181,0.87571,0.965,0.9722,0.99171,0.86564,0.60152,0.58311,0.92245,0.000530659,0.000530659,0.000530659
129,1402.37,0.43067,0.38645,0.85695,0.96867,0.97012,0.99171,0.86339,0.59671,0.5698,0.92093,0.000523586,0.000523586,0.000523586
130,1412.99,0.45599,0.39782,0.86848,0.95924,0.97585,0.99124,0.86977,0.57715,0.55818,0.91545,0.000516512,0.000516512,0.000516512
131,1423.82,0.49022,0.41283,0.87795,0.95121,0.97631,0.99087,0.8725,0.5837,0.55313,0.91759,0.000509438,0.000509438,0.000509438
132,1434.65,0.42494,0.39391,0.85818,0.97967,0.9517,0.98915,0.86835,0.63588,0.5866,0.93187,0.000502365,0.000502365,0.000502365
133,1445.21,0.45191,0.40085,0.87753,0.95773,0.97186,0.98836,0.86103,0.67185,0.59482,0.93268,0.000495291,0.000495291,0.000495291
134,1455.91,0.45817,0.39701,0.86929,0.96025,0.9726,0.98915,0.87126,0.65816,0.58445,0.92806,0.000488218,0.000488218,0.000488218
