epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,422.412,0.70833,1.01159,0.94005,0.87869,0.83693,0.8703,0.67851,0.80858,1.40613,0.97306,0.000367967,0.000367967,0.000367967
77,427.848,0.63337,1.00814,0.90609,0.87869,0.83693,0.8703,0.67851,0.80858,1.40613,0.97306,0.00035382,0.00035382,0.00035382
78,433.276,0.64755,1.06667,0.88099,0.89406,0.83792,0.87952,0.6875,0.82045,1.37538,0.97723,0.000339673,0.000339673,0.000339673
79,438.682,0.65435,1.04215,0.92494,0.89406,0.83792,0.87952,0.6875,0.82045,1.37538,0.97723,0.000325526,0.000325526,0.000325526
80,444.168,0.63921,0.91935,0.89582,0.92661,0.84582,0.89672,0.69586,0.83691,1.33507,0.98517,0.000311379,0.000311379,0.000311379
81,449.576,0.6017,0.92516,0.89673,0.92661,0.84582,0.89672,0.69586,0.83691,1.33507,0.98517,0.000297232,0.000297232,0.000297232
82,455.053,0.70969,0.93625,0.91052,0.94172,0.84282,0.9144,0.69633,0.83447,1.29907,0.97924,0.000283085,0.000283085,0.000283085
83,460.513,0.54788,0.85466,0.83603,0.94172,0.84282,0.9144,0.69633,0.83447,1.29907,0.97924,0.000268938,0.000268938,0.000268938
84,466.114,0.63812,0.937,0.88737,0.93003,0.86117,0.91607,0.69478,0.82753,1.27862,0.96482,0.000254791,0.000254791,0.000254791
85,471.61,0.59039,0.90187,0.88135,0.93003,0.86117,0.91607,0.69478,0.82753,1.27862,0.96482,0.000240644,0.000240644,0.000240644
86,477.201,0.58854,0.83629,0.85605,0.93822,0.86117,0.9189,0.69458,0.82439,1.26849,0.95807,0.000226497,0.000226497,0.000226497
87,482.68,0.59702,0.89328,0.90347,0.93822,0.86117,0.9189,0.69458,0.82439,1.26849,0.95807,0.000212349,0.000212349,0.000212349
88,488.081,0.64515,1.01259,0.95951,0.9542,0.86084,0.92168,0.69749,0.83317,1.25779,0.95559,0.000198202,0.000198202,0.000198202
89,493.527,0.60635,0.9484,0.88751,0.9542,0.86084,0.92168,0.69749,0.83317,1.25779,0.95559,0.000184055,0.000184055,0.000184055
90,498.999,0.65292,0.89478,0.93953,0.95444,0.85931,0.92147,0.69853,0.82569,1.24482,0.95173,0.000169908,0.000169908,0.000169908
91,504.437,0.5669,1.06936,0.9192,0.95444,0.85931,0.92147,0.69853,0.82569,1.24482,0.95173,0.000155761,0.000155761,0.000155761
92,509.959,0.60212,0.98885,0.89544,0.95577,0.85726,0.9247,0.70582,0.81869,1.23813,0.94828,0.000141614,0.000141614,0.000141614
93,515.45,0.52821,1.06393,0.85024,0.95577,0.85726,0.9247,0.70582,0.81869,1.23813,0.94828,0.000127467,0.000127467,0.000127467
94,521.037,0.55638,1.0815,0.86046,0.95495,0.85563,0.9227,0.70898,0.8169,1.23656,0.94894,0.00011332,0.00011332,0.00011332
95,526.545,0.4632,1.04669,0.85635,0.95495,0.85563,0.9227,0.70898,0.8169,1.23656,0.94894,9.91726e-05,9.91726e-05,9.91726e-05
96,532.123,0.56364,1.21047,0.95815,0.9411,0.85824,0.91952,0.70701,0.80704,1.23744,0.94727,8.50255e-05,8.50255e-05,8.50255e-05
97,537.662,0.55859,0.99918,0.89341,0.9411,0.85824,0.91952,0.70701,0.80704,1.23744,0.94727,7.08784e-05,7.08784e-05,7.08784e-05
98,543.22,0.52781,1.02719,0.89215,0.93224,0.86498,0.91824,0.71244,0.79958,1.23857,0.94594,5.67313e-05,5.67313e-05,5.67313e-05
99,548.51,0.55718,1.0793,0.91444,0.93224,0.86498,0.91824,0.71244,0.79958,1.23857,0.94594,4.25842e-05,4.25842e-05,4.25842e-05
100,553.947,0.49335,1.01001,0.8982,0.93453,0.87102,0.91626,0.71403,0.79042,1.23271,0.94416,2.84371e-05,2.84371e-05,2.84371e-05
